DOY	airTemp	solRad
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
11	1	0
12	1	0
13	1	0
14	1	0
15	1	0
16	1	0
17	1	0
18	1	0
19	1	0
20	1	0
21	1	0
22	1	0
23	1	0
24	1	0
25	1	0
26	1	0
27	1	0
28	1	0
29	1	0
30	1	0
31	1	0
32	1	0
33	1	0
34	1	0
35	1	0
36	1	0
37	1	0
38	1	0
39	1	0
40	1	0
41	1	0
42	1	0
43	1	0
44	1	0
45	1	0
46	1	0
47	1	0
48	1	0
49	1	0
50	1	0
51	1	0
52	1	0
53	1	0
54	1	0
55	1	0
56	1	0
57	1	0
58	1	0
59	1	0
60	1	0
61	1	0
62	1	0
63	1	0
64	1	0
65	1	0
66	1	0
67	1	0
68	1	0
69	1	0
70	1	0
71	1	0
72	1	0
73	1	0
74	1	0
75	1	0
76	1	0
77	10	0
78	10	0
79	10	0
80	10	0
81	10	0
82	10	0
83	10	0
84	10	0
85	10	0
86	10	0
87	10	0
88	10	0
89	10	0
90	10	0
91	10	0
92	10	0
93	10	0
94	10	0
95	10	0
96	10	0
97	10	0
98	10	0
99	10	0
100	10	0
101	10	0
102	10	0
103	10	0
104	10	0
105	10	0
106	10	0
107	10	0
108	10	0
109	10	0
110	10	0
111	10	0
112	10	0
113	10	0
114	10	0
115	10	0
116	10	0
117	10	0
118	10	0
119	10	0
120	10	0
121	10	0
122	10	0
123	10	0
124	10	0
125	10	0
126	10	0
127	10	0
128	10	0
129	10	0
130	10	0
131	10	0
132	10	0
133	10	0
134	10	0
135	10	0
136	10	300
137	10	300
138	10	300
139	10	300
140	10	300
141	10	300
142	10	300
143	10	300
144	10	300
145	10	300
146	10	300
147	10	300
148	10	300
149	10	300
150	10	300
151	10	300
152	10	300
153	10	300
154	10	300
155	10	300
156	10	300
157	10	300
158	10	300
159	10	300
160	10	300
161	10	300
162	10	300
163	10	300
164	10	300
165	10	300
166	10	300
167	10	300
168	10	300
169	10	300
170	10	300
171	10	300
172	10	300
173	10	300
174	10	300
175	10	300
176	10	300
177	10	300
178	10	300
179	10	300
180	10	300
181	10	300
182	10	300
183	10	300
184	10	300
185	10	300
186	10	300
187	10	300
188	10	300
189	10	300
190	10	300
191	10	300
192	20	300
193	20	300
194	20	300
195	20	300
196	20	300
197	20	300
198	20	300
199	20	300
200	20	300
201	20	300
202	20	300
203	20	300
204	20	300
205	20	300
206	20	300
207	20	300
208	20	300
209	20	300
210	20	300
211	20	300
212	20	300
213	20	300
214	20	300
215	20	300
216	20	300
217	20	300
218	20	300
219	20	300
220	20	300
221	20	300
222	20	300
223	20	300
224	20	300
225	20	300
226	20	300
227	20	300
228	20	300
229	20	300
230	20	300
231	20	300
232	20	300
233	20	300
234	20	300
235	20	300
236	20	300
237	20	300
238	20	300
239	20	300
240	20	300
241	20	300
242	20	300
243	0	300
244	1	300
245	2	300
246	3	300
247	4	300
248	5	300
249	6	300
250	7	300
251	8	300
252	9	300
253	10	300
254	11	300
255	12	300
256	13	300
257	14	300
258	15	300
259	16	300
260	17	300
261	18	300
262	19	300
263	20	300
264	21	300
265	22	300
266	23	300
267	24	300
268	25	300
269	26	300
270	27	300
271	28	300
272	29	300
273	30	300
274	31	300
275	32	300
276	33	300
277	34	300
278	35	300
279	36	300
280	37	300
281	38	300
282	39	300
283	40	300
284	41	300
285	42	300
286	43	300
287	44	300
288	45	300
289	46	300
290	47	300
291	48	300
292	49	300
293	50	300
294	51	300
295	52	300
296	53	300
297	54	300
298	55	300
299	56	300
300	57	300
301	58	300
302	59	300
303	60	300
304	61	300
305	62	300
306	63	300
307	64	300
308	65	300
309	66	300
310	67	300
311	68	300
312	69	300
313	70	300
314	71	300
315	72	300
316	73	300
317	74	300
318	75	300
319	76	300
320	77	300
321	78	300
322	79	300
323	80	300
324	81	300
325	82	300
326	83	300
327	84	300
328	85	300
329	86	300
330	87	300
331	88	300
332	89	300
333	90	300
334	91	300
335	92	300
336	93	300
337	94	300
338	95	300
339	96	300
340	97	300
341	98	300
342	99	300
343	100	300
344	101	300
345	102	300
346	103	300
347	104	300
348	105	300
349	106	300
350	107	300
351	108	300
352	109	300
353	110	300
354	111	300
355	112	300
356	113	300
357	114	300
358	115	300
359	116	300
360	117	300
361	118	300
362	119	300
363	120	300
364	121	300
365	122	300
366	123	300
