 Day of  Day of    Year   Slurry  Frozen  Slurry   Air    Wall   Floor    Slurry
 sim.     year             mass    mass   depth     T      T       T        T
    1       1        1   106.20    0.00    0.21    0.13    7.52   10.91   13.51
    2       2        1   112.40    0.00    0.22    0.63    7.42   10.88   11.34
    3       3        1   118.60    0.00    0.23   -0.76    7.32   10.85    9.77
    4       4        1   124.80    0.00    0.25   -0.13    7.22   10.82    8.62
    5       5        1   131.00    0.00    0.26   -0.56    7.12   10.82    7.83
    6       6        1   137.20    0.00    0.27   -1.87    7.01   10.80    7.14
    7       7        1   143.40    0.00    0.28   -0.74    6.90   10.79    6.61
    8       8        1   149.60    0.00    0.30   -0.19    6.81   10.78    6.32
    9       9        1   155.80    0.00    0.31   -2.27    6.69   10.77    6.00
   10      10        1   162.00    0.00    0.32   -1.53    6.59   10.75    5.70
   11      11        1   168.20    0.00    0.33   -1.90    6.45   10.73    5.47
   12      12        1   174.40    0.00    0.35   -3.19    6.31   10.70    5.21
   13      13        1   180.60    0.00    0.36   -3.35    6.17   10.68    4.94
   14      14        1   186.80    0.00    0.37   -4.47    6.04   10.64    4.64
   15      15        1   193.00    0.00    0.39  -10.20    5.86   10.58    4.07
   16      16        1   199.20    0.00    0.40   -3.91    5.72   10.54    3.66
   17      17        1   205.40    0.00    0.41   -3.05    5.60   10.51    1.27
   18      18        1   211.60    0.00    0.42   -1.67    5.50   10.49    1.54
   19      19        1   217.80    0.00    0.44   -1.51    5.41   10.47    1.99
   20      20        1   224.00    0.00    0.45    0.34    5.31   10.46    2.46
   21      21        1   230.20    0.00    0.46    2.02    5.22   10.44    2.99
   22      22        1   236.40    0.00    0.48    1.96    5.12   10.43    3.49
   23      23        1   242.60    0.00    0.49    3.00    5.04   10.39    3.95
   24      24        1   248.80    0.00    0.50   -1.90    4.93   10.32    2.19
   25      25        1   255.00    0.00    0.51   -0.95    4.85   10.26    2.37
   26      26        1   261.20    0.00    0.53   -3.49    4.73   10.18    0.90
   27      27        1   267.40    4.67    0.54   -7.17    4.61   10.10   -0.07
   28      28        1   273.60    3.56    0.55   -4.99    4.51   10.04    0.00
   29      29        1   279.80    2.27    0.57   -4.31    4.37    9.98    0.00
   30      30        1   286.00    2.88    0.58  -12.10    4.18    9.90    0.00
   31      31        1   292.20    3.99    0.59  -14.30    3.96    9.80    0.00
   32      32        1   298.40    4.34    0.60  -11.20    3.77    9.70    0.00
   33      33        1   304.60    3.85    0.62   -7.32    3.62    9.63    0.00
   34      34        1   310.80    3.29    0.63   -7.08    3.45    9.56    0.00
   35      35        1   317.00    3.26    0.64   -9.35    3.28    9.48    0.00
   36      36        1   323.20    3.61    0.65  -10.90    3.10    9.41    0.00
   37      37        1   329.40    3.86    0.67  -10.50    2.92    9.33    0.00
   38      38        1   335.60    5.07    0.68  -14.30    2.70    9.23    0.00
   39      39        1   341.80    5.88    0.69  -12.80    2.51    9.15    0.00
   40      40        1   348.00    7.69    0.71  -17.20    2.28    9.06    0.00
   41      41        1   354.20    9.24    0.72  -15.40    2.06    8.95    0.00
   42      42        1   360.40   10.49    0.73  -14.20    1.85    8.85    0.00
   43      43        1   366.60   11.01    0.74  -11.40    1.65    8.75    0.00
   44      44        1   372.80   10.87    0.76   -9.19    1.48    8.67    0.00
   45      45        1   379.00    9.68    0.77   -4.32    1.34    8.60    0.00
   46      46        1   385.20    9.89    0.78  -10.40    1.17    8.50    0.00
   47      47        1   391.40   10.13    0.80   -9.96    1.01    8.40    0.00
   48      48        1   397.60    9.08    0.81   -4.58    0.91    8.32    0.00
   49      49        1   403.80    8.08    0.82   -4.90    0.81    8.23    0.00
   50      50        1   410.00    5.84    0.83    0.31    0.76    8.16    0.00
   51      51        1   416.20    3.20    0.85    2.10    0.73    8.10    0.00
   52      52        1   422.40    0.19    0.86    3.37    0.70    8.04    0.00
   53      53        1   428.60    0.00    0.87    2.15    0.67    7.98    0.22
   54      54        1   434.80    0.00    0.89    2.42    0.65    7.92    0.67
   55      55        1   441.00    0.00    0.90    5.28    0.64    7.87    1.16
   56      56        1   106.20    0.00    0.21    8.64    0.68    7.84    2.71
   57      57        1   112.40    0.00    0.22    5.76    0.72    7.80    4.48
   58      58        1   118.60    0.00    0.23    2.15    0.73    7.75    4.39
   59      59        1   124.80    0.00    0.25    3.62    0.69    7.72    4.78
   60      60        1   131.00    0.00    0.26    3.07    0.63    7.66    5.03
   61      61        1   137.20    0.00    0.27    3.08    0.63    7.61    5.20
   62      62        1   143.40    0.00    0.28    2.35    0.64    7.56    4.74
   63      63        1   149.60    0.00    0.30   -1.00    0.57    7.49    4.72
   64      64        1   155.80    0.00    0.31   -3.36    0.46    7.40    4.55
   65      65        1   162.00    0.00    0.32    1.65    0.40    7.33    3.69
   66      66        1   168.20    0.00    0.33   -0.44    0.34    7.25    2.43
   67      67        1   174.40    0.00    0.35   -0.88    0.29    7.18    2.54
   68      68        1   180.60    0.00    0.36   -1.76    0.26    7.10    1.27
   69      69        1   186.80    2.12    0.37   -5.37    0.18    6.99   -0.05
   70      70        1   193.00    0.49    0.39   -1.65    0.09    6.89    0.00
   71      71        1   199.20    0.00    0.40    1.73    0.01    6.81    0.32
   72      72        1   205.40    0.00    0.41    3.08   -0.04    6.73    1.23
   73      73        1   211.60    0.00    0.42    1.80   -0.07    6.65    1.98
   74      74        1   217.80    0.00    0.44    1.88   -0.11    6.58    2.57
   75      75        1   224.00    0.00    0.45    0.96   -0.17    6.52    3.04
   76      76        1   230.20    0.00    0.46   -0.37   -0.23    6.46    2.23
   77      77        1   236.40    0.00    0.48   -1.41   -0.29    6.39    1.59
   78      78        1   242.60    0.00    0.49   -2.34   -0.35    6.33    1.24
   79      79        1   248.80    0.00    0.50    2.65   -0.36    6.28    1.60
   80      80        1   255.00    0.00    0.51    3.33   -0.38    6.24    2.25
   81      81        1   261.20    0.00    0.53    4.03   -0.39    6.20    2.86
   82      82        1   267.40    0.00    0.54    6.68   -0.39    6.17    3.51
   83      83        1   273.60    0.00    0.55    7.06   -0.39    6.15    4.17
   84      84        1   279.80    0.00    0.57    6.62   -0.40    6.12    4.73
   85      85        1   286.00    0.00    0.58    6.45   -0.42    6.09    5.19
   86      86        1   292.20    0.00    0.59    7.14   -0.44    6.07    5.60
   87      87        1   298.40    0.00    0.60    4.45   -0.49    6.03    5.10
   88      88        1   304.60    0.00    0.62    8.21   -0.47    6.01    5.33
   89      89        1   310.80    0.00    0.63   10.80   -0.39    5.99    5.83
   90      90        1   317.00    0.00    0.64    5.88   -0.36    5.95    6.15
   91      91        1   323.20    0.00    0.65    3.55   -0.37    5.90    5.52
   92      92        1   329.40    0.00    0.67    3.70   -0.36    5.84    5.09
   93      93        1   335.60    0.00    0.68    5.08   -0.34    5.78    5.24
   94      94        1   341.80    0.00    0.69    6.60   -0.35    5.73    5.57
   95      95        1   348.00    0.00    0.71    2.11   -0.37    5.66    3.88
   96      96        1   354.20    0.00    0.72    3.40   -0.34    5.62    4.03
   97      97        1   360.40    0.00    0.73    3.07   -0.32    5.57    4.29
   98      98        1   366.60    0.00    0.74    1.28   -0.30    5.53    3.99
   99      99        1   372.80    0.00    0.76    4.12   -0.26    5.49    4.13
  100     100        1   379.00    0.00    0.77    4.18   -0.24    5.45    4.42
  101     101        1   385.20    0.00    0.78    3.23   -0.22    5.39    4.66
  102     102        1   391.40    0.00    0.80    2.96   -0.22    5.33    4.03
  103     103        1   397.60    0.00    0.81    2.29   -0.23    5.28    4.11
  104     104        1   403.80    0.00    0.82    1.39   -0.26    5.22    3.91
  105     105        1   410.00    0.00    0.83    2.40   -0.30    5.17    4.03
  106     106        1   416.20    0.00    0.85    4.49   -0.30    5.12    4.29
  107     107        1   422.40    0.00    0.86    6.48   -0.27    5.08    4.62
  108     108        1   428.60    0.00    0.87    6.48   -0.24    5.03    4.97
  109     109        1   434.80    0.00    0.89    6.22   -0.20    4.98    5.28
  110     110        1   441.00    0.00    0.90    7.10   -0.16    4.95    5.57
  111     111        1   447.20    0.00    0.91    7.52   -0.13    4.92    5.85
  112     112        1   453.40    0.00    0.92    1.53   -0.14    4.85    5.93
  113     113        1   459.60    0.00    0.94    3.52   -0.12    4.78    5.04
  114     114        1   465.80    0.00    0.95    1.88   -0.15    4.70    3.52
  115     115        1   472.00    0.00    0.96    0.99   -0.18    4.63    2.88
  116     116        1   478.20    0.00    0.98    1.74   -0.19    4.58    2.97
  117     117        1   484.40    0.00    0.99    2.71   -0.21    4.53    3.18
  118     118        1   490.60    0.00    1.00    3.22   -0.23    4.47    3.42
  119     119        1   496.80    0.00    1.01    3.48   -0.24    4.41    3.64
  120     120        1   503.00    0.00    1.03    3.42   -0.27    4.34    3.86
  121     121        1   509.20    0.00    1.04    3.76   -0.27    4.27    4.06
  122     122        1   515.40    0.00    1.05    6.16   -0.25    4.22    4.30
  123     123        1   521.60    0.00    1.06    5.55   -0.19    4.16    4.55
  124     124        1   527.80    0.00    1.08    6.52   -0.13    4.11    4.78
  125     125        1   534.00    0.00    1.09    3.37   -0.08    4.04    3.93
  126     126        1   540.20    0.00    1.10    3.10   -0.08    3.98    3.76
  127     127        1   546.40    0.00    1.12    3.17   -0.08    3.91    3.84
  128     128        1   552.60    0.00    1.13    6.07   -0.06    3.85    4.06
  129     129        1   558.80    0.00    1.14    5.90   -0.03    3.81    4.30
  130     130        1   565.00    0.00    1.15   12.50    0.07    3.79    4.61
  131     131        1   571.20    0.00    1.17   15.40    0.18    3.80    5.08
  132     132        1   577.40    0.00    1.18   15.60    0.31    3.81    5.60
  133     133        1   583.60    0.00    1.19   17.60    0.45    3.83    6.12
  134     134        1   589.81    0.00    1.21   13.00    0.55    3.84    6.54
  135     135        1   596.01    0.00    1.22    9.62    0.64    3.83    6.77
  136     136        1   602.21    0.00    1.23   10.90    0.73    3.81    6.95
  137     137        1   608.41    0.00    1.24   10.90    0.82    3.81    7.14
  138     138        1   614.61    0.00    1.26   11.50    0.92    3.81    7.35
  139     139        1   620.81    0.00    1.27   12.50    1.03    3.81    7.58
  140     140        1   627.01    0.00    1.28   12.50    1.14    3.80    7.83
  141     141        1   633.21    0.00    1.30    9.93    1.25    3.78    8.01
  142     142        1   639.41    0.00    1.31   11.20    1.36    3.76    8.15
  143     143        1   645.61    0.00    1.32    8.07    1.46    3.75    7.24
  144     144        1   651.81    0.00    1.33    8.70    1.60    3.73    7.29
  145     145        1   658.01    0.00    1.35   11.80    1.72    3.72    7.44
  146     146        1   664.21    0.00    1.36    9.02    1.82    3.71    7.42
  147     147        1   670.41    0.00    1.37    6.45    1.88    3.69    7.42
  148     148        1   676.61    0.00    1.39   11.30    1.98    3.69    7.53
  149     149        1   682.82    0.00    1.40   12.10    2.07    3.69    7.75
  150     150        1   689.02    0.00    1.41   13.60    2.16    3.69    8.00
  151     151        1   695.22    0.00    1.42   13.60    2.25    3.69    8.22
  152     152        1   701.42    0.00    1.44   13.00    2.33    3.69    8.42
  153     153        1   707.62    0.00    1.45   14.90    2.46    3.69    8.64
  154     154        1   713.82    0.00    1.46   15.40    2.58    3.72    8.88
