 Day of  Day of     Year  
 sim.     year                   Qrad         Qslur2air     Qslur2floor    Qslur2dwall     Qslur2uwall      Qfeed          Qout         Qoutave          HH           HHadj
    1       1        1             -2.         20262.          1077.           173.             0.         -6162.         15348.         18234.      55251304.      55251304.
    2       2        1             -3.         19203.          1036.           166.             5.          -244.         20163.         20437.      72587320.      72587320.
    3       3        1             -2.         20718.           992.           158.            12.          -394.         21484.         21774.      77343096.      77343096.
    4       4        1             -1.         19479.           952.           151.            17.          -534.         20063.         20332.      72228544.      72228544.
    5       5        1            -11.         19695.           912.           143.            23.          -673.         20088.         20356.      72317688.      72317688.
    6       6        1             -2.         21117.           870.           136.            30.          -819.         21331.         21614.      76792984.      76792984.
    7       7        1             -2.         19206.           831.           129.            33.          -951.         19246.         19499.      69286792.      69286792.
    8       8        1             -2.         18113.           795.           123.            36.         -1073.         17992.         18227.      64771340.      64771340.
    9       9        1             -6.         20626.           755.           116.            47.         -1209.         20329.         20593.      73185384.      73185384.
   10      10        1             -2.         19266.           718.           110.            50.         -1335.         18806.         19048.      67701752.      67701752.
   11      11        1             -3.         19443.           679.           104.            56.         -1460.         18819.         19060.      67747704.      67747704.
   12      12        1             -8.         20872.           640.            99.            66.         -1592.         20077.         20332.      72275960.      72275960.
   13      13        1             -3.         20746.           603.            94.            71.         -1722.         19789.         20039.      71240992.      71240992.
   14      14        1             -2.         21932.           565.            89.            82.         -1857.         20808.         21070.      74910424.      74910424.
   15      15        1             -4.         29369.           517.            82.           118.         -2036.         28046.         28396.     100964648.     100964648.
   16      16        1             -3.         20347.           484.            78.            87.         -2159.         18834.         19068.      67802128.      67802128.
   17      17        1             -2.         18864.           454.            74.            86.         -2270.         17208.         17420.      61947420.      61947420.
   18      18        1             -2.         16703.           428.            71.            81.         -2365.         14916.         15099.      53697012.      53697012.
   19      19        1             -4.         16239.           404.            67.            84.         -2455.         14335.         14510.      51607208.      51607208.
   20      20        1             -3.         13486.           382.            65.            73.         -2528.         11475.         11614.      41311568.      41311568.
   21      21        1             -3.         11017.           365.            63.            63.         -2584.          8921.          9028.      32114082.      32114082.
   22      22        1             -2.         10955.           347.            62.            66.         -2638.          8789.          8894.      31638942.      31638942.
   23      23        1            -10.          9399.           330.            62.            59.         -2683.          7157.          7242.      25764006.      25764006.
   24      24        1            -12.         15950.           305.            60.           105.         -2765.         13644.         13806.      49119264.      49119264.
   25      25        1             -2.         14446.           283.            58.            99.         -2838.         12046.         12188.      43365892.      43365892.
   26      26        1             -3.         17707.           253.            55.           127.         -2929.         15209.         15387.      54754152.      54754152.
   27      27        1             -4.         22476.           216.            52.           167.         -3047.         19859.         20090.      71492904.      71492904.
   28      28        1             -3.         19199.           185.            49.           148.         -3146.         16433.         16622.      59157132.      59157132.
   29      29        1             -6.         18019.           158.            47.           144.         -3236.         15126.         15300.      54453304.      54453304.
   30      30        1             -8.         28388.           118.            43.           236.         -3383.         25393.         25683.      91414032.      91414032.
   31      31        1            -16.         30993.            73.            37.           266.         -3545.         27808.         28124.     100110144.     100110144.
   32      32        1            -17.         26349.            34.            33.           234.         -3680.         22954.         23213.      82633656.      82633656.
   33      33        1             -3.         20719.             4.            31.           190.         -3781.         17159.         17352.      61773300.      61773300.
   34      34        1             -6.         20133.           -26.            29.           190.         -3876.         16444.         16628.      59199088.      59199088.
   35      35        1            -10.         22977.           -59.            28.           224.         -3985.         19175.         19388.      69029392.      69029392.
   36      36        1            -12.         24802.           -96.            26.           249.         -4103.         20866.         21096.      75115928.      75115928.
   37      37        1            -14.         23948.          -130.            24.           247.         -4216.         19859.         20077.      71492328.      71492328.
   38      38        1            -11.         28831.          -170.            20.           305.         -4353.         24622.         24891.      88640168.      88640168.
   39      39        1            -17.         26426.          -205.            17.           288.         -4477.         22031.         22271.      79313224.      79313224.
   40      40        1            -30.         32099.          -245.            13.           358.         -4629.         27566.         27864.      99236816.      99236816.
   41      41        1             -6.         29246.          -280.            10.           335.         -4766.         24540.         24804.      88344040.      88344040.
   42      42        1             -9.         27257.          -314.             9.           320.         -4889.         22374.         22613.      80544736.      80544736.
   43      43        1            -17.         23121.          -342.             8.           278.         -4989.         18059.         18251.      65012880.      65012880.
   44      44        1            -36.         19852.          -363.             8.           244.         -5070.         14637.         14792.      52692540.      52692540.
   45      45        1            -16.         13008.          -376.            10.           164.         -5113.          7678.          7758.      27639566.      27639566.
   46      46        1            -30.         21185.          -396.            11.           273.         -5196.         15847.         16013.      57050860.      57050860.
   47      47        1            -12.         20362.          -414.            11.           268.         -5277.         14940.         15096.      53784692.      53784692.
   48      48        1            -10.         12821.          -422.            14.           173.         -5317.          7258.          7333.      26129446.      26129446.
   49      49        1            -15.         13156.          -431.            16.           181.         -5357.          7550.          7628.      27180952.      27180952.
   50      50        1            -11.          5952.          -431.            20.            84.         -5360.           255.           258.        917715.        917715.
   51      51        1             -7.          3506.          -426.            24.            50.         -5349.         -2202.         -2225.      -7927325.      -7927325.
   52      52        1            -15.          1805.          -418.            28.            26.         -5329.         -3902.         -3942.     -14048182.     -14048182.
   53      53        1             -6.          3521.          -413.            32.            52.         -5317.         -2132.         -2154.      -7675468.      -7675468.
   54      54        1             -4.          3182.          -410.            35.            48.         -5305.         -2454.         -2479.      -8834819.      -8834819.
   55      55        1             -7.          -685.          -401.            39.           -11.         -5273.         -6338.         -6402.     -22817946.     -22817946.
   56      56        1             -5.         -5182.          -388.            43.           -82.         -5219.        -10832.        -10940.     -38995504.     -38995504.
   57      57        1            -36.         -1110.          -379.            47.           -18.         -5184.         -6679.         -6745.     -24044438.     -24044438.
   58      58        1            -26.          3902.          -376.            51.            64.         -5175.         -1561.         -1576.      -5619017.      -5619017.
   59      59        1            -35.          1918.          -373.            53.            32.         -5157.         -3562.         -3597.     -12824520.     -12824520.
   60      60        1            -28.          2715.          -372.            57.            46.         -5141.         -2724.         -2751.      -9807374.      -9807374.
   61      61        1            -40.          2543.          -390.            14.             0.            -0.          2126.          2215.       7655202.       7655202.
   62      62        1            -41.          3407.          -406.            13.             0.         -1131.          1842.          1923.       6630390.       6630390.
   63      63        1            -32.          7588.          -454.            11.             0.         -1167.          5946.          6206.      21403954.      21403954.
   64      64        1            -40.         10207.          -523.             8.             0.         -1219.          8433.          8800.      30359302.      30359302.
   65      65        1            -15.          3157.          -539.             7.             0.         -1229.          1382.          1441.       4973818.       4973818.
   66      66        1            -25.          5758.          -571.             6.             0.         -1252.          3916.          4084.      14097373.      14097373.
   67      67        1            -48.          6045.          -603.             5.             0.         -1277.          4121.          4297.      14836832.      14836832.
   68      68        1            -14.          6900.          -641.             3.             0.         -1307.          4941.          5150.      17786036.      17786036.
   69      69        1            -13.         11218.          -710.            -1.             0.         -1361.          9134.          9519.      32881292.      32881292.
   70      70        1            -14.          5791.          -739.            -3.             0.         -1384.          3651.          3804.      13143938.      13143938.
   71      71        1            -13.          1177.          -734.            -1.             0.         -1379.          -950.          -990.      -3420084.      -3420084.
   72      72        1            -23.          -502.          -715.             0.            -0.         -1364.         -2604.         -2713.      -9375987.      -9375987.
   73      73        1            -17.          1327.          -710.             2.             0.         -1360.          -757.          -789.      -2726602.      -2726602.
   74      74        1            -41.          1276.          -705.             3.             0.         -1355.          -822.          -856.      -2959758.      -2959758.
   75      75        1            -38.          2523.          -707.             3.             0.         -1357.           424.           442.       1527858.       1527858.
   76      76        1            -25.          4208.          -721.             3.             0.         -1369.          2096.          2181.       7546336.       7546336.
   77      77        1            -30.          5420.          -744.             2.             0.         -1387.          3261.          3393.      11741323.      11741323.
   78      78        1            -46.          6412.          -772.             0.             0.         -1411.          4184.          4352.      15061918.      15061918.
   79      79        1            -33.          -325.          -753.             2.            -0.         -1398.         -2508.         -2608.      -9027425.      -9027425.
   80      80        1            -50.         -1043.          -728.             4.            -0.         -1380.         -3197.         -3323.     -11507581.     -11507581.
   81      81        1            -39.         -1745.          -698.             7.            -0.         -1359.         -3834.         -3985.     -13803100.     -13803100.
   82      82        1            -64.         -4933.          -647.            11.            -0.         -1321.         -6954.         -7227.     -25035370.     -25035370.
   83      83        1            -40.         -4984.          -597.            15.            -0.         -1283.         -6889.         -7157.     -24799026.     -24799026.
   84      84        1            -61.         -3974.          -553.            19.            -0.         -1250.         -5820.         -6046.     -20951602.     -20951602.
   85      85        1            -42.         -3387.          -514.            22.            -0.         -1222.         -5143.         -5342.     -18515860.     -18515860.
   86      86        1            -52.         -3959.          -473.            25.            -0.         -1191.         -5650.         -5867.     -20339940.     -20339940.
   87      87        1            -12.          -114.          -460.            27.            -0.         -1181.         -1740.         -1806.      -6263798.      -6263798.
   88      88        1            -20.         -4890.          -417.            31.            -0.         -1147.         -6443.         -6688.     -23195260.     -23195260.
   89      89        1            -31.         -7856.          -353.            36.            -0.         -1098.         -9303.         -9654.     -33490684.     -33490684.
   90      90        1            -19.          -888.          -335.            38.            -0.         -1084.         -2288.         -2374.      -8236162.      -8236162.
   91      91        1            -68.          2285.          -340.            39.             0.         -1088.           827.           858.       2977518.       2977518.
   92      92        1            -41.          2038.          -345.            39.             0.         -1091.           600.           622.       2158262.       2158262.
   93      93        1            -69.           208.          -337.            40.             0.         -1085.         -1244.         -1290.      -4477883.      -4477883.
   94      94        1            -72.         -1695.          -318.            43.            -0.         -1069.         -3113.         -3227.     -11205969.     -11205969.
   95      95        1            -38.          4335.          -336.            42.             0.         -1083.          2921.          3028.      10514660.      10514660.
   96      96        1            -60.          2482.          -343.            42.             0.         -1089.          1032.          1070.       3716480.       3716480.
   97      97        1            -56.          2850.          -353.            42.             0.         -1096.          1388.          1438.       4995478.       4995478.
   98      98        1            -75.          5101.          -376.            41.             0.         -1114.          3578.          3707.      12879741.      12879741.
   99      99        1            -38.          1186.          -376.            42.             0.         -1113.          -298.          -309.      -1073653.      -1073653.
  100     100        1            -85.          1128.          -374.            43.             0.         -1111.          -399.          -414.      -1437933.      -1437933.
  101     101        1            -55.          2389.          -380.            43.             0.         -1115.           881.           913.       3173131.       3173131.
  102     102        1            -21.          2688.          -387.            42.             0.         -1121.          1201.          1243.       4322373.       4322373.
  103     103        1            -51.          3494.          -398.            42.             0.         -1131.          1956.          2024.       7039870.       7039870.
  104     104        1            -72.          4557.          -416.            41.             0.         -1145.          2965.          3068.      10672371.      10672371.
  105     105        1            -82.          3069.          -424.            40.             0.         -1153.          1450.          1501.       5220752.       5220752.
  106     106        1            -91.           257.          -415.            41.             0.         -1147.         -1354.         -1401.      -4874798.      -4874798.
  107     107        1            -84.         -2266.          -390.            43.            -0.         -1129.         -3825.         -3957.     -13771060.     -13771060.
  108     108        1            -95.         -2049.          -369.            45.            -0.         -1111.         -3579.         -3702.     -12884563.     -12884563.
  109     109        1            -94.         -1507.          -350.            47.            -0.         -1096.         -3002.         -3105.     -10807192.     -10807192.
  110     110        1            -94.         -2489.          -327.            49.            -0.         -1078.         -3940.         -4074.     -14183506.     -14183506.
  111     111        1            -68.         -2820.          -303.            52.            -0.         -1058.         -4197.         -4339.     -15108379.     -15108379.
  112     112        1            -18.          5246.          -326.            50.             0.         -1075.          3878.          4008.      13960020.      13960020.
  113     113        1            -64.          2430.          -333.            50.             0.         -1080.          1002.          1036.       3608274.       3608274.
  114     114        1            -44.          4520.          -352.            49.             0.         -1094.          3079.          3182.      11085239.      11085239.
  115     115        1            -42.          5520.          -376.            47.             0.         -1113.          4036.          4171.      14530924.      14530924.
  116     116        1            -38.          4313.          -393.            47.             0.         -1126.          2803.          2895.      10089635.      10089635.
  117     117        1            -80.          2893.          -401.            46.             0.         -1133.          1325.          1369.       4771799.       4771799.
  118     118        1            -61.          2152.          -404.            47.             0.         -1136.           598.           617.       2152366.       2152366.
  119     119        1            -64.          1779.          -404.            46.             0.         -1137.           221.           228.        794022.        794022.
  120     120        1            -93.          1847.          -405.            47.             0.         -1138.           258.           267.        929723.        929723.
  121     121        1            -61.          1386.          -404.            47.             0.         -1137.          -169.          -175.       -608530.       -608530.
  122     122        1            -78.         -1751.          -386.            50.            -0.         -1123.         -3288.         -3394.     -11836528.     -11836528.
  123     123        1            -68.          -777.          -373.            52.            -0.         -1112.         -2278.         -2351.      -8202470.      -8202470.
  124     124        1            -73.         -1929.          -353.            53.            -0.         -1097.         -3399.         -3507.     -12234718.     -12234718.
  125     125        1            -24.          2380.          -356.            54.             0.         -1101.           953.           983.       3429537.       3429537.
  126     126        1            -25.          2684.          -360.            54.             0.         -1106.          1246.          1286.       4486622.       4486622.
  127     127        1            -46.          2528.          -361.            54.             0.         -1111.          1063.          1097.       3826936.       3826936.
  128     128        1           -102.         -1332.          -342.            55.            -0.         -1099.         -2819.         -2908.     -10149412.     -10149412.
  129     129        1            -37.          -967.          -323.            57.            -0.         -1089.         -2358.         -2432.      -8490001.      -8490001.
  130     130        1            -40.         -9514.          -261.            62.            -0.         -1043.        -10797.        -11132.     -38868344.     -38868344.
  131     131        1            -86.        -12769.          -183.            69.            -0.          -982.        -13951.        -14383.     -50222600.     -50222600.
  132     132        1           -110.        -12319.          -107.            76.            -0.          -924.        -13383.        -13796.     -48180176.     -48180176.
  133     133        1           -105.        -14268.           -22.            83.            -0.          -858.        -15170.        -15635.     -54611508.     -54611508.
  134     134        1            -59.         -7455.            27.            88.            -0.          -822.         -8221.         -8473.     -29596672.     -29596672.
  135     135        1            -35.         -2598.            48.            90.            -0.          -806.         -3302.         -3402.     -11886246.     -11886246.
  136     136        1            -41.         -4115.            76.            93.            -0.          -786.         -4775.         -4919.     -17189224.     -17189224.
  137     137        1            -44.         -3877.           101.            95.            -0.          -767.         -4491.         -4627.     -16167614.     -16167614.
  138     138        1            -86.         -4440.           129.            98.            -0.          -746.         -5045.         -5196.     -18161418.     -18161418.
  139     139        1            -92.         -5506.           161.           101.            -0.          -720.         -6055.         -6236.     -21797344.     -21797344.
  140     140        1           -104.         -5206.           192.           104.            -0.          -696.         -5710.         -5881.     -20557388.     -20557388.
  141     141        1            -66.         -1544.           205.           105.            -0.          -687.         -1987.         -2046.      -7153117.      -7153117.
