doy	level
1	3
2	3
3	3
4	3
5	3
6	3
7	3
8	3
9	3
10	3
11	3
12	3
13	3
14	3
15	3
16	3
17	3
18	3
19	3
20	3
21	3
22	3
23	3
24	3
25	3
26	3
27	3
28	3
29	3
30	3
31	3
32	3
33	3
34	3
35	3
36	3
37	3
38	3
39	3
40	3
41	3
42	3
43	3
44	3
45	3
46	3
47	3
48	3
49	3
50	3
51	3
52	3
53	3
54	3
55	3
56	3
57	3
58	3
59	3
60	3
61	3.67
62	3.67
63	3.67
64	3.67
65	3.67
66	3.67
67	3.67
68	3.67
69	3.67
70	3.67
71	3.67
72	3.67
73	3.67
74	3.67
75	3.67
76	3.67
77	3.67
78	3.67
79	3.67
80	3.67
81	3.67
82	3.67
83	3.67
84	3.67
85	3.67
86	3.67
87	3.67
88	3.67
89	3.67
90	3.67
91	3.67
92	3.67
93	3.67
94	3.67
95	3.67
96	3.67
97	3.67
98	3.67
99	3.67
100	3.67
101	3.67
102	3.67
103	3.67
104	3.67
105	3.67
106	3.67
107	3.67
108	3.67
109	3.67
110	3.67
111	3.67
112	3.67
113	3.67
114	3.67
115	3.67
116	3.67
117	3.67
118	3.67
119	3.67
120	3.67
121	3.67
122	3.67
123	3.67
124	3.67
125	3.67
126	3.67
127	3.67
128	1.77
129	1.77
130	1.77
131	1.77
132	1.77
133	1.77
134	1.77
135	1.77
136	1.77
137	1.77
138	1.77
139	1.77
140	1.77
141	1.77
142	1.77
143	1.77
144	1.77
145	3.58
146	3.58
147	1.6
148	1.6
149	1.6
150	1.6
151	1.6
152	1.6
153	1.6
154	1.6
155	1.6
156	1.6
157	1.6
158	1.6
159	1.6
160	1.6
161	1.6
162	1.6
163	1.6
164	1.6
165	1.6
166	1.6
167	1.6
168	1.6
169	1.6
170	1.6
171	1.6
172	1.6
173	2
174	2
175	2
176	2
177	2
178	2
179	2
180	2
181	2
182	2
183	2
184	2
185	2
186	2
187	2
188	2
189	2
190	2
191	2
192	2
193	2
194	2
195	2
196	2
197	2
198	2
199	2
200	2
201	2
202	2
203	2
204	2
205	2
206	2
207	2
208	2
209	2
210	2
211	2
212	2
213	2
214	2
215	2
216	2
217	2
218	2
219	2
220	2
221	2
222	2
223	2
224	2
225	2
226	2
227	2
228	2
229	2
230	2
231	2
232	2
233	2
234	2
235	2
236	2
237	2
238	1.13
239	1.13
240	1.13
241	1.13
242	1.13
243	1.13
244	1.13
245	1.13
246	1.13
247	1.13
248	1.13
249	1.13
250	1.13
251	1.13
252	1.13
253	1.13
254	1.13
255	1.13
256	1.13
257	1.13
258	1.13
259	1.13
260	1.13
261	1.13
262	1.13
263	1.13
264	1.13
265	1.13
266	1.13
267	1.13
268	1.13
269	1.13
270	1.13
271	1.13
272	1.13
273	1.13
274	1.13
275	1.13
276	1.13
277	1.13
278	1.13
279	1.13
280	1.13
281	1.13
282	1.13
283	1.13
284	1.13
285	1.13
286	1.13
287	1.13
288	1.13
289	1.13
290	1.13
291	1.13
292	1.13
293	1.13
294	1.13
295	1.13
296	1.13
297	1.13
298	1.13
299	1.13
300	1.13
301	1.13
302	2.09
303	2.09
304	2.09
305	2.09
306	2.09
307	2.09
308	2.09
309	2.09
310	2.09
311	2.09
312	2.09
313	2.09
314	2.09
315	2.09
316	2.09
317	2.09
318	2.09
319	2.09
320	2.09
321	2.09
322	2.09
323	2.09
324	2.09
325	2.09
326	2.09
327	2.09
328	2.09
329	2.09
330	2.09
331	2.09
332	2.09
333	2.09
334	2.09
335	2.09
336	2.09
337	2.09
338	2.09
339	2.09
340	2.09
341	2.09
342	2.09
343	2.09
344	2.09
345	2.09
346	2.09
347	2.09
348	2.09
349	2.09
350	2.09
351	2.09
352	2.09
353	2.09
354	2.09
355	2.09
356	2.09
357	2.09
358	2.09
359	2.09
360	2.09
361	2.09
362	2.09
363	2.09
364	2.09
365	3


