 Day of  Day of    Year   Slurry  Frozen  Slurry   Air    Wall   Floor    Slurry
 sim.     year             mass    mass   depth     T      T       T        T
    1       1        1  3053.63    0.00    3.00    0.13    6.30   11.39    0.12
    2       2        1  3053.63    0.00    3.00    0.63    6.20   11.30    0.15
    3       3        1  3053.63    0.00    3.00   -0.76    6.11   11.21    0.18
    4       4        1  3053.63    0.00    3.00   -0.13    6.03   11.13    0.20
    5       5        1  3053.63    0.00    3.00   -0.56    5.90   11.04    0.23
    6       6        1  3053.63    0.00    3.00   -1.87    5.76   10.94    0.25
    7       7        1  3053.63    0.00    3.00   -0.74    5.63   10.85    0.26
    8       8        1  3053.63    0.00    3.00   -0.19    5.49   10.77    0.28
    9       9        1  3053.63    0.00    3.00   -2.27    5.35   10.69    0.30
   10      10        1  3053.63    0.00    3.00   -1.53    5.20   10.61    0.31
   11      11        1  3053.63    0.00    3.00   -1.90    5.06   10.54    0.31
   12      12        1  3053.63    0.00    3.00   -3.19    4.91   10.44    0.32
   13      13        1  3053.63    0.00    3.00   -3.35    4.76   10.34    0.31
   14      14        1  3053.63    0.00    3.00   -4.47    4.59   10.26    0.30
   15      15        1  3053.63    0.00    3.00  -10.20    4.38   10.13    0.25
   16      16        1  3053.63    0.00    3.00   -3.91    4.22   10.01    0.20
   17      17        1  3053.63    0.00    3.00   -3.05    4.07    9.90    0.20
   18      18        1  3053.63    0.00    3.00   -1.67    3.92    9.80    0.20
   19      19        1  3053.63    0.00    3.00   -1.51    3.77    9.71    0.21
   20      20        1  3053.63    0.00    3.00    0.34    3.65    9.62    0.22
   21      21        1  3053.63    0.00    3.00    2.02    3.55    9.52    0.26
   22      22        1  3053.63    0.00    3.00    1.96    3.45    9.42    0.30
   23      23        1  3053.63    0.00    3.00    3.00    3.38    9.32    0.35
   24      24        1  3053.63    0.00    3.00   -1.90    3.28    9.20    0.38
   25      25        1  3053.63    0.00    3.00   -0.95    3.20    9.09    0.39
   26      26        1  3053.63    0.00    3.00   -3.49    3.10    8.98    0.38
   27      27        1  3053.63    0.00    3.00   -7.17    2.97    8.87    0.35
   28      28        1  3053.63    0.00    3.00   -4.99    2.87    8.77    0.31
   29      29        1  3053.63    0.00    3.00   -4.31    2.76    8.68    0.29
   30      30        1  3053.63    0.00    3.00  -12.10    2.59    8.55    0.23
   31      31        1  3053.63    0.00    3.00  -14.30    2.40    8.41    0.12
   32      32        1  3053.63    0.45    3.00  -11.20    2.27    8.29    0.03
   33      33        1  3053.63    2.35    3.00   -7.32    2.18    8.19    0.00
   34      34        1  3053.63    4.11    3.00   -7.08    2.11    8.08    0.00
   35      35        1  3053.63    6.68    3.00   -9.35    1.94    7.98    0.00
   36      36        1  3053.63    9.81    3.00  -10.90    1.73    7.86    0.00
   37      37        1  3053.63   12.77    3.00  -10.50    1.60    7.75    0.00
   38      38        1  3053.63   17.24    3.00  -14.30    1.45    7.61    0.00
   39      39        1  3053.63   21.04    3.00  -12.80    1.25    7.49    0.00
   40      40        1  3053.63   26.30    3.00  -17.20    0.99    7.34    0.00
   41      41        1  3053.63   31.32    3.00  -15.40    0.76    7.19    0.00
   42      42        1  3053.63   35.85    3.00  -14.20    0.55    7.05    0.00
   43      43        1  3053.63   39.19    3.00  -11.40    0.39    6.91    0.00
   44      44        1  3053.63   41.40    3.00   -9.19    0.28    6.77    0.00
   45      45        1  3053.63   42.12    3.00   -4.32    0.19    6.66    0.00
   46      46        1  3053.63   44.91    3.00  -10.40    0.00    6.51    0.00
   47      47        1  3053.63   47.86    3.00   -9.96   -0.21    6.37    0.00
   48      48        1  3053.63   48.83    3.00   -4.58   -0.35    6.29    0.00
   49      49        1  3053.63   49.83    3.00   -4.90   -0.45    6.19    0.00
   50      50        1  3053.63   48.96    3.00    0.31   -0.52    6.13    0.00
   51      51        1  3053.63   47.46    3.00    2.10   -0.57    6.08    0.00
   52      52        1  3053.63   45.37    3.00    3.37   -0.62    6.02    0.00
   53      53        1  3053.63   43.89    3.00    2.15   -0.65    5.95    0.00
   54      54        1  3053.63   42.36    3.00    2.42   -0.68    5.87    0.00
   55      55        1  3053.63   39.70    3.00    5.28   -0.67    5.82    0.00
   56      56        1  3053.63   35.81    3.00    8.64   -0.64    5.79    0.00
   57      57        1  3053.63   32.46    3.00    5.76   -0.64    5.74    0.00
   58      58        1  3053.63   30.67    3.00    2.15   -0.68    5.67    0.00
   59      59        1  3053.63   28.16    3.00    3.62   -0.71    5.60    0.00
   60      60        1  3053.63   26.00    3.00    3.07   -0.76    5.52    0.00
   61      61        1  3735.61   23.61    3.67    3.08   -0.82    5.45    0.00
   62      62        1  3735.61   21.49    3.67    2.35   -0.88    5.39    0.00
   63      63        1  3735.61   20.84    3.67   -1.00   -1.00    5.31    0.00
   64      64        1  3735.61   20.97    3.67   -3.36   -1.09    5.20    0.00
   65      65        1  3735.61   19.60    3.67    1.65   -1.07    5.10    0.00
   66      66        1  3735.61   18.88    3.67   -0.44   -1.09    4.99    0.00
   67      67        1  3735.61   17.94    3.67   -0.88   -1.15    4.90    0.00
   68      68        1  3735.61   17.94    3.67   -1.76   -1.20    4.82    0.00
   69      69        1  3735.61   19.37    3.67   -5.37   -1.27    4.72    0.00
   70      70        1  3735.61   19.35    3.67   -1.65   -1.36    4.62    0.00
   71      71        1  3735.61   18.05    3.67    1.73   -1.39    4.54    0.00
   72      72        1  3735.61   16.04    3.67    3.08   -1.35    4.46    0.00
   73      73        1  3735.61   14.66    3.67    1.80   -1.34    4.36    0.00
   74      74        1  3735.61   12.83    3.67    1.88   -1.30    4.28    0.00
   75      75        1  3735.61   11.42    3.67    0.96   -1.29    4.19    0.00
