 Day of  Day of    Year   Slurry  Frozen  Slurry   Air    Wall   Floor    Slurry
 sim.     year             mass    mass   depth     T      T       T        T
    1       1        1  2951.14    0.00    3.00    0.13    0.78    2.42   14.91
    2       2        1  2281.16    0.00    3.01    0.63    0.38    1.90   14.75
    3       3        1  2289.58    0.00    3.02   -0.76   -0.06    1.06   14.56
    4       4        1  2298.01    0.00    3.03   -0.13   -0.45    0.26   14.37
    5       5        1  2306.44    0.00    3.04   -0.56   -0.35   -0.14   14.19
    6       6        1  2314.87    0.00    3.06   -1.87   -1.21   -0.54   14.00
    7       7        1  2323.30    0.00    3.07   -0.74   -1.31   -0.81   13.81
    8       8        1  2331.73    0.00    3.08   -0.19   -0.46   -0.70   13.63
    9       9        1  2340.15    0.00    3.09   -2.27   -1.23   -1.13   13.44
   10      10        1  2348.58    0.00    3.10   -1.53   -1.90   -1.32   13.25
   11      11        1  2357.01    0.00    3.11   -1.90   -1.71   -1.33   13.07
   12      12        1  2365.44    0.00    3.12   -3.19   -2.55   -1.82   12.88
   13      13        1  2373.87    0.00    3.13   -3.35   -3.27   -2.45   12.68
   14      14        1  2382.29    0.00    3.15   -4.47   -3.91   -2.89   12.48
   15      15        1  2390.72    0.00    3.16  -10.20   -7.34   -4.62   12.25
   16      16        1  2399.15    0.00    3.17   -3.91   -7.06   -5.02   12.02
   17      17        1  2407.58    0.00    3.18   -3.05   -3.48   -5.00   11.82
   18      18        1  2416.01    0.00    3.19   -1.67   -2.36   -4.66   11.65
   19      19        1  2424.44    0.00    3.20   -1.51   -1.59   -4.07   11.48
   20      20        1  2432.86    0.00    3.21    0.34   -0.58   -1.96   11.33
   21      21        1  2441.29    0.00    3.22    2.02    1.18   -0.77   11.20
   22      22        1  2449.72    0.00    3.23    1.96    1.99    0.23   11.09
   23      23        1  2458.15    0.00    3.25    3.00    2.48    1.16   10.98
   24      24        1  2466.58    0.00    3.26   -1.90    0.55    1.08   10.86
   25      25        1  2475.00    0.00    3.27   -0.95   -1.43    0.83   10.72
   26      26        1  2483.43    0.00    3.28   -3.49   -2.22   -0.28   10.58
   27      27        1  2491.86    0.00    3.29   -7.17   -5.33   -2.10   10.40
   28      28        1  2500.29    0.00    3.30   -4.99   -6.08   -3.70   10.21
   29      29        1  2508.72    0.00    3.31   -4.31   -4.65   -4.18   10.04
   30      30        1  2517.15    0.00    3.32  -12.10   -8.21   -6.41    9.83
   31      31        1  2525.57    0.00    3.33  -14.30  -13.20   -8.57    9.58
   32      32        1  2534.00    0.00    3.35  -11.20  -12.75   -9.38    9.33
   33      33        1  2542.43    0.00    3.36   -7.32   -9.26   -9.85    9.12
   34      34        1  2550.86    0.00    3.37   -7.08   -7.20  -10.40    8.93
   35      35        1  2559.29    0.00    3.38   -9.35   -8.22   -9.85    8.72
   36      36        1  2567.71    0.00    3.39  -10.90  -10.12   -9.17    8.51
   37      37        1  2576.14    0.00    3.40  -10.50  -10.70   -9.03    8.30
   38      38        1  2584.57    0.00    3.41  -14.30  -12.40  -10.43    8.07
   39      39        1  2593.00    0.00    3.42  -12.80  -13.55  -11.57    7.83
   40      40        1  2601.43    0.00    3.44  -17.20  -15.00  -13.14    7.59
   41      41        1  2609.86    0.00    3.45  -15.40  -16.30  -14.04    7.33
   42      42        1  2618.28    0.00    3.46  -14.20  -14.80  -14.78    7.08
   43      43        1  2626.71    0.00    3.47  -11.40  -12.80  -14.20    6.86
   44      44        1  2635.14    0.00    3.48   -9.19  -10.29  -13.48    6.67
   45      45        1  2643.57    0.00    3.49   -4.32   -6.75  -10.90    6.51
   46      46        1  2652.00    0.00    3.50  -10.40   -7.36   -9.90    6.36
   47      47        1  2660.42    0.00    3.51   -9.96  -10.18   -9.05    6.18
   48      48        1  2668.85    0.00    3.52   -4.58   -7.27   -7.69    6.04
   49      49        1  2677.28    0.00    3.54   -4.90   -4.74   -6.83    5.92
   50      50        1  2685.71    0.00    3.55    0.31   -2.30   -5.91    5.82
   51      51        1  2694.14    0.00    3.56    2.10    1.20   -3.41    5.76
   52      52        1  2702.57    0.00    3.57    3.37    2.74   -0.74    5.72
   53      53        1  2710.99    0.00    3.58    2.15    2.76    0.61    5.69
   54      54        1  2719.42    0.00    3.59    2.42    2.29    2.07    5.65
   55      55        1  2727.85    0.00    3.60    5.28    3.85    3.06    5.63
   56      56        1  2736.28    0.00    3.61    8.64    6.96    4.37    5.64
   57      57        1  2744.71    0.00    3.63    5.76    7.20    4.85    5.66
   58      58        1  2753.13    0.00    3.64    2.15    3.96    4.85    5.66
   59      59        1  2761.56    0.00    3.65    3.62    2.89    5.09    5.64
   60      60        1  2769.99    0.00    3.66    3.07    3.35    4.65    5.63
   61      61        1  2778.43    0.00    3.67    3.08    3.08    3.54    5.62
   62      62        1  2782.77    0.00    3.68    2.35    2.72    2.85    5.60
   63      63        1  2789.16    0.00    3.69   -1.00    0.68    2.22    5.57
   64      64        1  2795.54    0.00    3.70   -3.36   -2.18    0.83    5.50
   65      65        1  2801.93    0.00    3.70    1.65   -0.85    0.54    5.45
   66      66        1  2808.32    0.00    3.71   -0.44    0.60   -0.16    5.40
   67      67        1  2814.70    0.00    3.72   -0.88   -0.66   -0.81    5.35
   68      68        1  2821.09    0.00    3.73   -1.76   -1.32   -0.96    5.29
   69      69        1  2827.48    0.00    3.74   -5.37   -3.56   -1.36    5.21
   70      70        1  2833.86    0.00    3.75   -1.65   -3.51   -2.02    5.12
   71      71        1  2840.25    0.00    3.75    1.73    0.04   -1.58    5.07
   72      72        1  2846.64    0.00    3.76    3.08    2.41   -0.79    5.04
   73      73        1  2853.02    0.00    3.77    1.80    2.44   -0.08    5.02
   74      74        1  2859.41    0.00    3.78    1.88    1.84    1.37    4.99
   75      75        1  2865.79    0.00    3.79    0.96    1.42    1.89    4.97
   76      76        1  2872.18    0.00    3.80   -0.37    0.30    1.47    4.93
   77      77        1  2878.57    0.00    3.81   -1.41   -0.89    0.57    4.88
   78      78        1  2884.95    0.00    3.81   -2.34   -1.87   -0.26    4.83
   79      79        1  2891.34    0.00    3.82    2.65    0.16   -0.10    4.80
   80      80        1  2897.73    0.00    3.83    3.33    2.99    0.37    4.79
   81      81        1  2904.11    0.00    3.84    4.03    3.68    1.25    4.79
   82      82        1  2910.50    0.00    3.85    6.68    5.36    2.87    4.80
   83      83        1  2916.89    0.00    3.86    7.06    6.87    4.75    4.84
   84      84        1  2923.27    0.00    3.86    6.62    6.84    5.54    4.87
   85      85        1  2929.66    0.00    3.87    6.45    6.54    6.17    4.91
   86      86        1  2936.05    0.00    3.88    7.14    6.80    6.79    4.94
   87      87        1  2942.43    0.00    3.89    4.45    5.80    6.34    4.96
   88      88        1  2948.82    0.00    3.90    8.21    6.33    6.57    4.98
   89      89        1  2955.20    0.00    3.91   10.80    9.51    7.41    5.03
   90      90        1  2961.59    0.00    3.92    5.88    8.34    7.30    5.07
   91      91        1  2967.98    0.00    3.92    3.55    4.72    6.58    5.09
   92      92        1  2974.36    0.00    3.93    3.70    3.63    6.43    5.10
   93      93        1  2980.75    0.00    3.94    5.08    4.39    5.80    5.11
   94      94        1  2987.14    0.00    3.95    6.60    5.84    4.96    5.14
   95      95        1  2993.52    0.00    3.96    2.11    4.36    4.21    5.15
   96      96        1  2999.91    0.00    3.97    3.40    2.76    4.18    5.15
   97      97        1  3006.30    0.00    3.97    3.07    3.24    4.05    5.15
   98      98        1  3012.68    0.00    3.98    1.28    2.18    3.29    5.15
   99      99        1  3019.07    0.00    3.99    4.12    2.70    2.80    5.14
  100     100        1  3025.46    0.00    4.00    4.18    4.15    3.21    5.15
  101     101        1  1132.15    0.00    1.50    3.23    3.71    3.18    5.16
  102     102        1  1147.25    0.00    1.51    2.96    3.10    3.15    5.14
  103     103        1  1154.79    0.00    1.52    2.29    2.63    3.36    5.12
  104     104        1  1162.34    0.00    1.53    1.39    1.84    2.81    5.10
  105     105        1  1169.89    0.00    1.54    2.40    1.90    2.45    5.09
  106     106        1  1177.44    0.00    1.55    4.49    3.45    2.71    5.12
  107     107        1  1184.98    0.00    1.56    6.48    5.49    3.41    5.20
  108     108        1  1192.53    0.00    1.57    6.48    6.48    4.25    5.29
  109     109        1  1200.08    0.00    1.58    6.22    6.35    5.21    5.39
  110     110        1  1207.63    0.00    1.59    7.10    6.66    6.15    5.49
  111     111        1  1215.18    0.00    1.60    7.52    7.31    6.76    5.60
  112     112        1  1222.72    0.00    1.61    1.53    4.53    5.77    5.61
  113     113        1  1230.27    0.00    1.62    3.52    2.53    5.18    5.59
  114     114        1  1237.82    0.00    1.63    1.88    2.70    4.31    5.58
  115     115        1  1245.37    0.00    1.64    0.99    1.43    3.09    5.53
  116     116        1  1252.91    0.00    1.65    1.74    1.36    1.93    5.48
  117     117        1  1260.46    0.00    1.66    2.71    2.23    2.17    5.45
  118     118        1  1268.01    0.00    1.67    3.22    2.97    2.11    5.45
  119     119        1  1275.56    0.00    1.68    3.48    3.35    2.43    5.45
  120     120        1  1283.10    0.00    1.69    3.42    3.45    2.91    5.46
